FIPS,State,Population,Last_Update,Lat,Long_,Tested,Confirmed,Active,Hospitalized,Deaths,Recovered
1,Alabama,"4,728,915",6/27/20 4:33,32.3182,-86.9023,378323,34183,14410,2653,907,18866
4,Arizona,"8,456,448",6/27/20 4:33,33.7298,-111.4312,479823,66659,56734,4514,1536,8389
5,Arkansas,"3,060,219",6/27/20 4:33,34.9697,-92.3731,277380,18740,6364,1300,249,12127
6,California,"42,206,743",6/27/20 4:33,36.1162,-119.6816,3771314,206844,200976,,5868,
8,Colorado,"5,278,867",6/27/20 4:33,39.0598,-105.3111,302577,31780,25695,5386,1673,4412
9,Connecticut,"3,675,650",6/27/20 4:33,41.5978,-72.7554,416862,46059,33699,10268,4307,8053
10,Delaware,"963,209",6/27/20 4:33,39.3185,-75.5071,102100,11017,3849,,507,6661
11,District of Columbia,"480,540",6/27/20 4:33,38.8974,-77.0268,88123,10185,8453,,546,1186
12,Florida,"23,406,525",6/27/20 4:33,27.7663,-81.6868,1768885,122960,119594,14281,3366,
13,Georgia,"10,843,753",6/27/20 4:33,33.0406,-83.6431,771028,72995,70225,10605,2770,
16,Idaho,"1,741,333",6/27/20 4:33,44.2405,-114.4788,82370,4865,1063,303,90,3712
17,Illinois,"13,236,720",6/27/20 4:33,40.3495,-88.9861,1492005,140291,133444,,6847,
18,Indiana,"6,627,008",6/27/20 4:33,39.8494,-86.2583,453890,44140,8149,6944,2595,33396
19,Iowa,"3,020,496",6/27/20 4:33,42.0115,-93.2105,283643,27717,9700,,704,17313
20,Kansas,"2,890,566",6/27/20 4:33,38.5266,-96.7265,167859,13462,12418,1128,265,779
21,Kentucky,"4,424,431",6/27/20 4:33,37.6681,-84.6701,350754,14859,10576,2589,553,3730
22,Louisiana,"4,719,160",6/27/20 4:33,31.1695,-91.8678,678006,54769,11787,,3190,39792
23,Maine,"1,408,665",6/27/20 4:33,44.6939,-69.3819,89854,3102,457,343,103,2542
24,Maryland,"6,497,626",6/27/20 4:33,39.0639,-76.8021,506397,66115,58070,10725,3142,4903
25,Massachusetts,"6,855,546",6/27/20 4:33,42.2302,-71.5301,814085,108070,100058,11291,8012,
26,Michigan,"10,695,993",6/27/20 4:33,43.3266,-84.5361,981706,69329,13905,,6134,49290
27,Minnesota,"5,900,769",6/27/20 4:33,45.6945,-93.9002,557278,34616,3162,3966,1446,30008
28,Mississippi,"3,044,812",6/27/20 4:33,32.7416,-89.6787,271894,25066,6802,3044,1022,17242
29,Missouri,"6,199,882",6/27/20 4:33,38.4561,-92.2884,348618,20216,19219,,997,
30,Montana,"1,022,735",6/27/20 4:33,46.9219,-110.4544,80161,829,218,95,22,589
31,Nebraska,"1,802,678",6/27/20 4:33,41.1254,-98.2681,165002,18524,5944,1294,266,12314
32,Nevada,"3,452,283",6/27/20 4:33,38.3135,-117.0554,258662,15240,14058,,498,684
33,New Hampshire,"1,524,751",6/27/20 4:33,43.4525,-71.5639,114768,5671,925,561,365,4381
34,New Jersey,"9,461,635",6/27/20 4:33,40.2989,-74.521,1346672,170584,125815,19752,14914,29855
35,New Mexico,"2,084,341",6/27/20 4:33,34.8405,-106.2485,314670,11408,5872,1811,489,5047
36,New York,"19,576,920",6/27/20 4:33,42.1657,-74.9481,3681317,391220,289868,89995,31342,70010
37,North Carolina,"10,709,289",6/27/20 4:33,35.6301,-79.8064,836725,59158,20889,,1348,36921
38,North Dakota,"630,112",6/27/20 4:33,47.5289,-99.784,100886,3421,253,222,78,3090
39,Ohio,"11,644,058",6/27/20 4:33,40.3888,-82.7649,721552,48638,45850,7570,2788,
40,Oklahoma,"3,735,690",6/27/20 4:33,35.5653,-96.9289,310777,12347,3153,1393,377,8817
41,Oregon,"4,260,393",6/27/20 4:33,44.572,-122.0709,216868,7818,4967,1022,202,2649
42,Pennsylvania,"12,787,354",6/27/20 4:33,40.5908,-77.2098,719081,88860,16473,,6579,65808
44,Rhode Island,"1,154,230",6/27/20 4:33,41.6809,-71.5118,230508,16661,14134,1984,927,1600
45,South Carolina,"4,822,577",6/27/20 4:33,33.8569,-80.945,334671,30335,16185,2622,694,13456
46,South Dakota,"801,939",6/27/20 4:33,44.2998,-99.4388,77015,6535,795,639,88,5652
47,Tennessee,"6,780,670",6/27/20 4:33,35.7478,-86.6923,742032,39444,13114,2498,577,25753
48,Texas,"28,634,896",6/27/20 4:33,31.0545,-97.5635,1697334,140173,61537,,2354,76282
49,Utah,"2,990,094",6/27/20 4:33,40.15,-111.8624,317568,20050,8787,1321,166,11097
50,Vermont,"690,686",6/27/20 4:33,44.0459,-72.7107,61589,1198,201,,56,941
51,Virginia,"8,917,395",6/27/20 4:33,37.7693,-78.17,606463,60570,51002,8722,1700,7868
53,Washington,"7,432,136",6/27/20 4:33,47.4009,-121.4905,505795,30855,29551,4106,1304,
54,West Virginia,"1,801,112",6/27/20 4:33,38.4912,-80.9545,161957,2730,731,,92,1907
55,Wisconsin,"6,004,954",6/27/20 4:33,44.2685,-89.6165,536836,26747,4807,3351,766,21174
56,Wyoming,"530,948",6/27/20 4:33,42.756,-107.3025,31774,1368,315,112,20,1033
