date,state,totaResultsViral,dResults,aggposViral,dPositive,dailyPosRate,aggCases,dCases,curHosp,aggHosp,dcurHosp,daggHosp,aggICU,daggICU,aggDeaths,dDeaths
20200701,GA,855038,21160,76664,2450,11.58%,84237,2946,1570,11275,111,224,2357,34,2827,22
20200630,GA,833878,10761,74214,1170,10.87%,81291,1874,1459,11051,100,227,2323,34,2805,21
20200629,GA,823117,16179,73044,2163,13.37%,79417,2207,1359,10824,123,113,2289,21,2784,6
20200628,GA,806938,17125,70881,2313,13.51%,77210,2225,1236,10711,58,22,2268,7,2778,2
20200627,GA,789813,18785,68568,2058,10.96%,74985,1990,1178,10689,-6,84,2261,17,2776,6
20200626,GA,771028,13104,66510,1688,12.88%,72995,1900,1184,10605,49,148,2244,22,2770,25
20200625,GA,757924,14690,64822,1652,11.25%,71095,1714,1135,10457,11,144,2222,16,2745,47
20200624,GA,743234,11973,63170,1327,11.08%,69381,1703,1124,10313,68,190,2206,32,2698,10
20200623,GA,731261,23235,61843,1826,7.86%,67678,1750,1056,10123,56,170,2174,19,2688,40
20200622,GA,708026,9719,60017,1089,11.20%,65928,1227,1000,9953,56,116,2155,15,2648,5
20200621,GA,698307,3923,58928,915,23.32%,64701,892,944,9837,0,0,2140,0,2643,1
20200620,GA,694384,24078,58013,2335,9.70%,63809,1800,944,9837,7,65,2140,18,2642,6
20200619,GA,670306,7102,55678,551,7.76%,62009,1097,937,9772,16,109,2122,13,2636,31
20200618,GA,663204,12737,55127,841,6.60%,60912,882,921,9663,40,120,2109,25,2605,30
20200617,GA,650467,15489,54286,913,5.89%,60030,952,881,9543,6,89,2084,19,2575,46
20200616,GA,634978,4482,53373,400,8.92%,59078,664,875,9454,10,132,2065,22,2529,35
20200615,GA,630496,9706,52973,616,6.35%,58414,733,865,9322,36,74,2043,9,2494,43
20200614,GA,620790,21110,52357,1154,5.47%,57681,880,829,9248,19,24,2034,5,2451,5
20200613,GA,599680,7722,51203,952,12.33%,56801,1018,810,9224,-26,43,2029,8,2446,28
20200612,GA,591958,7717,50251,586,7.59%,55783,810,836,9181,-6,108,2021,15,2418,43
20200611,GA,584241,13286,49665,882,6.64%,54973,993,842,9073,25,99,2006,15,2375,46
20200610,GA,570955,13772,48783,809,5.87%,53980,731,817,8974,-17,102,1991,31,2329,44
20200609,GA,557183,7808,47974,481,6.16%,53249,752,834,8872,15,126,1960,35,2285,77
20200608,GA,549375,9491,47493,618,6.51%,52497,599,819,8746,36,61,1925,16,2208,28
20200607,GA,539884,17027,46875,756,4.44%,51898,589,783,8685,-5,23,1909,8,2180,6
20200606,GA,522857,15069,46119,861,5.71%,51309,688,788,8662,-2,16,1901,4,2174,0
20200605,GA,507788,11457,45258,779,6.80%,50621,774,790,8646,-17,89,1897,25,2174,27
20200604,GA,496331,13619,44479,842,6.18%,49847,953,807,8557,-8,138,1872,31,2147,24
20200603,GA,482712,8425,43637,459,5.45%,48894,687,815,8419,-13,85,1841,20,2123,21
20200602,GA,474287,2656,43178,,,48207,589,828,8334,-13,207,1821,21,2102,28
20200601,GA,471631,6106,,,,47618,632,841,8127,-12,181,1800,6,2074,32
20200531,GA,465525,10687,,,,46986,700,853,7946,3,25,1794,4,2042,39
20200530,GA,454838,4567,,,,46286,616,850,7921,-39,69,1790,10,2003,29
20200529,GA,450271,5625,,,,45670,600,889,7852,-14,85,1780,19,1974,12
20200528,GA,444646,3890,,,,45070,649,903,7767,-4,101,1761,26,1962,55
20200527,GA,440756,-74189,,,,44421,691,907,7666,53,119,1735,32,1907,36
20200526,GA,514945,1400,,,,43730,386,854,7547,-38,72,1703,17,1871,41
20200525,GA,513545,31591,,,,43344,506,892,7475,44,36,1686,3,1830,6
20200524,GA,481954,28417,,,,42838,706,848,7439,0,28,1683,5,1824,13
20200523,GA,453537,26288,,,,42132,914,848,7411,-41,98,1678,20,1811,26
20200522,GA,427249,19518,,,,41218,813,889,7313,-70,78,1658,16,1785,31
20200521,GA,407731,4791,,,,40405,758,959,7235,0,128,1642,25,1754,67
20200520,GA,402940,24784,,,,39647,926,959,7107,-27,80,1617,28,1687,23
20200519,GA,378156,13867,,,,38721,640,986,7027,-39,111,1589,24,1664,22
20200518,GA,364289,13114,,,,38081,380,1025,6916,15,126,1565,8,1642,36
